Timestamp,Room,Type,locked,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data0,Mat1,Mat2,Mat3,Mat4,Mat5,Mat6,Mat7,Mat8,Mat9,Mat10,Mat0
4/6/2021 23:35:00,SEC - Security,Small locker,Yes,,,,,,,,,,,,Insight Data Bank,Surveillance Equipment,,,,,,,,,
4/6/2021 23:36:27,(CORR) - Corridor (blank doors),Small locker,Yes,,,,,,,,,,,,G-Meds,Insight Entertainment Suite,Insight Data Bank,,,,,,,,
4/6/2021 23:37:01,OPR - Operations,Small locker,No,,,,,,,,,,,,Scrambler,Transmitter,,,,,,,,,
4/6/2021 23:37:27,OPR - Operations,Small locker,No,,,,,,,,,,,,Electromagnet,,,,,,,,,,
4/6/2021 23:55:21,PWR - Power,Data port,,Duty Rota,Maintenance Logs,,,,,,,,,,,,,,,,,,,,
4/6/2021 23:56:21,PROC - Production,Data port,,Maintenance Logs,Manufacturing Instructions,Operational Manual,Purchase Records,,,,,,,,,,,,,,,,,,
4/6/2021 23:57:28,PROC - Production,Data port,,Accident logs,Chemical Patents,Chemical Patents,Chemical Patents,Purchase Records,,,,,,,,,,,,,,,,,
4/6/2021 23:58:42,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,Genetic Repair Meds,Ionised Gas,Compression-Liquified Gas,,,,,,,,
4/7/2021 0:03:09,SEC - Security,Data port,,,,,,,,,,,,settlement defenceplans,,,,,,,,,,,
4/7/2021 7:17:42,DORM - Dorms,Data port,,Campaign Plans,,,,,,,,,,,,,,,,,,,,,
4/7/2021 7:18:59,AGR - Agricultural,Data port,,Accident logs,Financial Projections,,,,,,,,,,,,,,,,,,,,
4/7/2021 7:24:12,AGR - Agricultural,Small locker,No,,,,,,,,,,,,Viscoelastic Polymer,,,,,,,,,,
4/7/2021 7:25:05,AGR - Agricultural,Small locker,Yes,,,,,,,,,,,,Synthetic Genome,Microbial Inhibitor,,,,,,,,,
4/7/2021 7:26:57,AGR - Agricultural,Small locker,Yes,,,,,,,,,,,,Genetic Sample,Nutritional Concentrate,Nutritional Concentrate,,,,,,,,
4/7/2021 7:52:27,DORM - Dorms,Large Locker,Yes,,,,,,,,,,,,G-Meds,G-Meds,Optical Lens,Personal Computer,Transmitter,Metal Coil,,,,,
4/7/2021 12:27:12,SEC - Security,Data port,,,,,,,,,,,,Ballistics Data,,,,,,,,,,,
4/7/2021 19:17:50,SEC - Security,Data port,,,,,,,,,,,,Combat Performance,,,,,,,,,,,
4/7/2021 19:18:09,SEC - Security,Data port,,,,,,,,,,,,Fleet Registry,,,,,,,,,,,
4/7/2021 19:18:32,SEC - Security,Data port,,,,,,,,,,,,Settlement Defence Plans,,,,,,,,,,,
4/7/2021 21:07:23,PROC - Production,Data port,No,Meeting Minutes,Sales Records,Manufacturing Instructions,Manufacturing Instructions,Union Membership,,,,,,,,,,,,,,,,,
4/7/2021 21:08:20,PROC - Production,Data port,No,Chemical Formulae,Duty Rota,Duty Rota,Evacuation Protocols,Chemical Experiment Data,,,,,,,,,,,,,,,,,
4/7/2021 21:13:04,PROC - Production,Data port,,Chemical Experiment Data,,,,,,,,,,,,,,,,,,,,,
4/7/2021 21:14:09,PROC - Production,Small locker,No,,,,,,,,,,,,Electrical Wiring,Electrical Wiring,,,,,,,,,
4/7/2021 21:14:31,PROC - Production,Small locker,No,,,,,,,,,,,,,,,,,,,,,,
4/7/2021 21:15:36,PROC - Production,Small locker,Yes,,,,,,,,,,,,Inertia Canister,G-Meds,,,,,,,,,
4/7/2021 21:16:45,PROC - Production,Small locker,Yes,,,,,,,,,,,,Ionised Gas,Chemical Sample,Genetic Repair Meds,,,,,,,,
4/7/2021 21:17:31,PROC - Production,Large Locker,No,,,,,,,,,,,,Metal Coil,,,,,,,,,,
4/7/2021 21:19:27,(CORR) - Corridor (blank doors),Small locker,No,,,,,,,,,,,,Graphien,Encrypted Memory Chip,Circuit Switch,Ion Bettery,,,,,,,
