Timestamp,Room,Type,locked,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data0,Mat1,Mat2,Mat3,Mat4,Mat5,Mat6,Mat7,Mat8,Mat9,Mat10,Mat0
4/5/2021 1:34:43,PROC - Production,Data port,,Manufacturing Instructions,,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:35:57,PROC - Production,Data port,,Chemical Inventory,,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:37:13,PROC - Production,Data port,,Air Quality Reports,Chemical Formulae,Chemical Inventory,Production Schedule,Production Schedule,,,,,,,,,,,,,,,,,
4/5/2021 1:38:20,Lab - Laboratory,Data port,,Gene Sequencing,,,,,,,,,,Blood test results,,,,,,,,,,,
4/5/2021 1:39:21,PWR - Power,Data port,,Evacuation Protocols,Radioactivity Data,Reactor Output Review,,,,,,,,,,,,,,,,,,,
4/5/2021 1:42:19,PROC - Production,Data port,,Chemical Inventory,,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:43:27,PROC - Production,Data port,,Evacuation Protocols,Exploration Journals,Purchase Records,,,,,,,,,,,,,,,,,,,
4/5/2021 1:43:59,PROC - Production,Data port,,Chemical Experiment Data,Production Reports,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:44:51,Lab - Laboratory,Data port,,Stellar Activity Logs,,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:45:43,PWR - Power,Data port,,Air Quality Reports,Radioactivity Data,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:48:26,PROC - Production,Data port,,Duty Rota,Operational Manual,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:48:52,Lab - Laboratory,Small locker,No,,,,,,,,,,,,Graphien,Micro Supercapacitor,,,,,,,,,
4/5/2021 1:49:29,PROC - Production,Data port,,Faction News,Production Schedule,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:49:52,PROC - Production,Data port,,Financial Projections,,,,,,,,,,,,,,,,,,,,,
4/5/2021 1:50:20,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,Degraded Power Regulator,Ionised Gas,Compact Library,,,,,,,,
4/5/2021 1:51:00,Lab - Laboratory,Data port,,,,,,,,,,,,Atmospheric Data ,,,,,,,,,,,
4/5/2021 2:01:30,Lab - Laboratory,Data port,,,,,,,,,,,,Seed Genaology,,,,,,,,,,,
4/5/2021 21:48:04,OPR - Operations,Small locker,Yes,,,,,,,,,,,,Weapon Schematic,Suit Schematic,Ship Schematic,,,,,,,,
4/6/2021 0:22:09,DORM - Dorms,Yellow Container,No,,,,,,,,,,,,Circuit Board,Micro Thrusters,Weapon Component,Weapon Schematic,,,,,,,
4/6/2021 0:34:14,PROC - Production,Data port,,Manufacturing Instructions,,,,,,,,,,,,,,,,,,,,,
4/6/2021 0:36:37,DORM - Dorms,Small locker,No,,,,,,,,,,,,Graphien,Metal Coil,Epoxy Adhesive,Ion Bettery,Memory Chip,,,,,,
4/6/2021 0:38:08,Lab - Laboratory,Small locker,No,,,,,,,,,,,,Motor,Carbon Fibre Plating,Oxygenic Bacteria,,,,,,,,
4/6/2021 0:38:56,MED - Medical,Small locker,No,,,,,,,,,,,,Epinephrine,,,,,,,,,,
4/6/2021 0:40:55,SEC - Security,Data port,No,Biometric Data,Conflict History,Faction News,,,,,,,,Faction Donatorlist,,,,,,,,,,,
4/6/2021 0:46:16,Lab - Laboratory,Large Locker,No,,,,,,,,,,,,Graphien,Metal Coil,Optical Lens,Epoxy Adhesive,Memory Chip,Ion Bettery,,,,,
4/6/2021 1:33:29,STO - Storage,Large Locker,Yes,,,,,,,,,,,,Ship Schematic,Suit Schematic,Weapon Schematic,Suit Schematic,Motor,Micro Thrusters,,,,,Vehicle Schematic
4/6/2021 2:38:58,DORM - Dorms,Large Locker,No,,,,,,,,,,,,Circuit Switch,Encrypted Memory Chip,Circuit Switch,Metal Coil,Encrypted Memory Chip,,,,,,
4/6/2021 2:39:31,DORM - Dorms,Small locker,No,,,,,,,,,,,,Encrypted Memory Chip,Memory Chip,,,,,,,,,
4/6/2021 2:40:07,DORM - Dorms,Small locker,No,,,,,,,,,,,,Encrypted Memory Chip,Encrypted Memory Chip,Ion Bettery,,,,,,,,
4/6/2021 2:41:08,DORM - Dorms,Small locker,No,,,,,,,,,,,,Memory Chip,,,,,,,,,,
4/6/2021 3:00:41,AGR - Agricultural,Small locker,Yes,,,,,,,,,,,,Buildings Schematic,Graphien,Graphien,,,,,,,,
4/6/2021 4:55:52,AGR - Agricultural,Large Locker,No,,,,,,,,,,,,G-Meds,Metal Coil,,,,,,,,,
4/6/2021 5:37:22,SEC - Security,Small locker,Yes,,,,,,,,,,,,Personal Documents,,,,,,,,,,
4/6/2021 5:38:03,SEC - Security,Small locker,Yes,,,,,,,,,,,,Surveillance Equipment,,,,,,,,,,
4/6/2021 5:38:46,SEC - Security,Small locker,No,,,,,,,,,,,,RDX,Scrambler,,,,,,,,,
4/6/2021 6:04:18,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,Compression-Liquified Gas,Compact Library,,,,,,,,,
4/6/2021 6:04:56,Lab - Laboratory,Small locker,No,,,,,,,,,,,,Oxygenic Bacteria,Memory Chip,,,,,,,,,
4/6/2021 6:06:02,Lab - Laboratory,Large Locker,No,,,,,,,,,,,,Metal Coil,Optical Lens,Ion Bettery,,,,,,,,
4/6/2021 6:08:29,PROC - Production,Small locker,No,,,,,,,,,,,,Electrical Wiring,Circuit Board,,,,,,,,,
4/6/2021 6:09:03,PROC - Production,Small locker,No,,,,,,,,,,,,Motor,Microelectrode,Circuit Board,Micro Supercapacitor,,,,,,,
4/6/2021 6:10:21,PROC - Production,Data port,No,Chemical Patents,Meeting Minutes,,,,,,,,,,,,,,,,,,,,
4/6/2021 6:11:55,PROC - Production,Large Locker,No,,,,,,,,,,,,RDX,Titanium Plating,Micro Transformer,Micro Hydraulics,Weapon Component,,,,,,
4/6/2021 6:12:48,PROC - Production,Yellow Container,Yes,,,,,,,,,,,,G-Meds,Universal Translator,Insight Data Bank,Personal Documents,,,,,,,
4/6/2021 6:14:32,PROC - Production,Data port,No,Faction News,,,,,,,,,,,,,,,,,,,,,
4/6/2021 6:16:09,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,Microbial Inhibitor,Deep Mantle Sample,,,,,,,,,
4/6/2021 6:26:31,PROC - Production,Small locker,No,,,,,,,,,,,,Micro Thrusters,,,,,,,,,,
4/6/2021 6:27:06,PROC - Production,Small locker,No,,,,,,,,,,,,Carbon Fibre Plating,Carbon Fibre Plating,Aerogel,Micro Thrusters,,,,,,,
4/6/2021 6:28:32,PROC - Production,Data port,No,Accident logs,Air Quality Reports,Chemical Experiment Data,Exploration Journals,Union Membership,,,,,,,,,,,,,,,,,
4/6/2021 6:31:58,PROC - Production,Small locker,Yes,,,,,,,,,,,,Compression-Liquified Gas,Inertia Canister,,,,,,,,,
4/6/2021 6:32:37,PROC - Production,Small locker,Yes,,,,,,,,,,,,G-Meds,G-Meds,,,,,,,,,
4/6/2021 6:43:16,SEC - Security,Data port,No,AX Combat Data,Duty Rota,,,,,,,,,Combat Performance,,,,,,,,,,,
4/6/2021 11:49:28,DORM - Dorms,Small locker,No,,,,,,,,,,,,Graphien,Encrypted Memory Chip,Optical Lens,,,,,,,,
4/6/2021 11:50:58,DORM - Dorms,Small locker,No,,,,,,,,,,,,Memory Chip,Encrypted Memory Chip,Optical Lens,,,,,,,,
4/6/2021 11:52:49,DORM - Dorms,Small locker,No,,,,,,,,,,,,Ion Bettery,Circuit Switch,Graphien,,,,,,,,
4/6/2021 11:53:57,DORM - Dorms,Large Locker,No,,,,,,,,,,,,Memory Chip,Graphien,Epoxy Adhesive,Ion Bettery,Metal Coil,Circuit Switch,Optical Lens,,,,
4/6/2021 21:24:02,PROC - Production,Data port,No,Accident logs,Chemical Formulae,Purchase Requests,,,,,,,,,,,,,,,,,,,
4/6/2021 21:25:39,PROC - Production,Small locker,Yes,,,,,,,,,,,,Genetic Repair Meds,Genetic Repair Meds,Inertia Canister,Inertia Canister,,,,,,,
4/6/2021 21:27:22,PROC - Production,Small locker,No,,,,,,,,,,,,Micro Supercapacitor,Circuit Board,Motor,Circuit Switch,,,,,,,
4/6/2021 21:29:14,(CORR) - Corridor (blank doors),Yellow Container,Yes,,,,,,,,,,,,Personal Computer,Insight Entertainment Suite,Infinity,Insight Data Bank,Insight Data Bank,Personal Computer,,,,,
4/6/2021 21:30:34,Lab - Laboratory,Data port,No,Meeting Minutes,,,,,,,,,,,,,,,,,,,,,
4/6/2021 21:31:37,PROC - Production,Small locker,Yes,,,,,,,,,,,,G-Meds,G-Meds,Compression-Liquified Gas,Inertia Canister,,,,,,,
4/6/2021 21:33:38,PROC - Production,Large Locker,No,,,,,,,,,,,,Circuit Switch,Motor,Motor,Micro Transformer,Circuit Switch,Circuit Board,,,,,
4/6/2021 21:35:07,PROC - Production,Small locker,No,,,,,,,,,,,,Micro Transformer,,,,,,,,,,
4/6/2021 21:36:35,Lab - Laboratory,Small locker,No,,,,,,,,,,,,Chemical Catalyst,Chemical Catalyst,Encrypted Memory Chip,Memory Chip,,,,,,,
4/6/2021 21:37:03,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,Inertia Canister,Inertia Canister,,,,,,,,,
4/6/2021 21:39:34,Lab - Laboratory,Large Locker,No,,,,,,,,,,,,Optical Lens,Circuit Switch,Memory Chip,Memory Chip,Circuit Switch,Circuit Switch,Circuit Switch,Ion Bettery,Ion Bettery,Encrypted Memory Chip,Memory Chip
4/6/2021 21:41:25,Lab - Laboratory,Data port,No,Accident logs,Exploration Journals,Maintenance Logs,Stellar Activity Logs,,,,,,,,,,,,,,,,,,
4/6/2021 21:43:08,Lab - Laboratory,Large Locker,No,,,,,,,,,,,,Encrypted Memory Chip,Ion Bettery,Epoxy Adhesive,Memory Chip,Memory Chip,Metal Coil,Memory Chip,Memory Chip,Epoxy Adhesive,,
4/6/2021 21:49:52,PROC - Production,Data port,No,Chemical Experiment Data,Chemical Inventory,Duty Rota,Maintenance Logs,,,,,,,,,,,,,,,,,,
4/6/2021 21:51:41,PROC - Production,Small locker,Yes,,,,,,,,,,,,Chemical Sample,Inertia Canister,Compression-Liquified Gas,Compression-Liquified Gas,,,,,,,
4/6/2021 21:52:16,PROC - Production,Small locker,Yes,,,,,,,,,,,,Genetic Repair Meds,,,,,,,,,,
4/6/2021 21:54:01,(CORR) - Corridor (blank doors),Yellow Container,No,,,,,,,,,,,,Ion Bettery,Encrypted Memory Chip,Circuit Switch,Memory Chip,Memory Chip,Epoxy Adhesive,,,,,
4/6/2021 21:55:12,Lab - Laboratory,Data port,No,Accident logs,Manufacturing Instructions,Production Reports,Purchase Requests,Union Membership,,,,,,,,,,,,,,,,,
4/6/2021 21:56:57,PROC - Production,Small locker,Yes,,,,,,,,,,,,G-Meds,G-Meds,G-Meds,Chemical Sample,,,,,,,
4/6/2021 21:58:41,PROC - Production,Large Locker,No,,,,,,,,,,,,Microelectrode,Motor,Circuit Board,Micro Hydraulics,Metal Coil,Micro Thrusters,Circuit Switch,,,,
4/6/2021 21:59:10,PROC - Production,Small locker,Yes,,,,,,,,,,,,Ionised Gas,Ionised Gas,Compression-Liquified Gas,G-Meds,,,,,,,
4/6/2021 22:00:43,Lab - Laboratory,Large Locker,No,,,,,,,,,,,,Memory Chip,Circuit Switch,Circuit Switch,,,,,,,,
4/6/2021 22:01:22,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,Ionised Gas,Inertia Canister,Deep Mantle Sample,,,,,,,,
4/6/2021 22:02:45,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,Microbial Inhibitor,Insight Data Bank,Ionised Gas,,,,,,,,
4/6/2021 22:04:16,Lab - Laboratory,Data port,No,,,,,,,,,,,Topographical Surveys, Vaccination Records,,,,,,,,,,,
4/6/2021 22:05:39,Lab - Laboratory,Small locker,No,,,,,,,,,,,,Chemical Catalyst,Epinephrine,Oxygenic Bacteria,PH Neutraliser,,,,,,,
4/6/2021 22:07:12,Lab - Laboratory,Large Locker,No,,,,,,,,,,,,Encrypted Memory Chip,Circuit Switch,Metal Coil,Ion Bettery,Encrypted Memory Chip,Circuit Switch,Encrypted Memory Chip,Ion Bettery,Memory Chip,Memory Chip,
4/6/2021 22:10:04,OPR - Operations,Small locker,No,,,,,,,,,,,,Metal Coil,Encrypted Memory Chip,Encrypted Memory Chip,Circuit Switch,,,,,,,
4/6/2021 22:10:30,OPR - Operations,Small locker,Yes,,,,,,,,,,,,Universal Translator,,,,,,,,,,
4/6/2021 22:11:28,OPR - Operations,Small locker,No,,,,,,,,,,,,Encrypted Memory Chip,Encrypted Memory Chip,,,,,,,,,
4/6/2021 22:13:59,Lab - Laboratory,Large Locker,No,,,,,,,,,,,,Memory Chip,Ion Bettery,Graphien,,,,,,,,
4/6/2021 22:19:55,(CORR) - Corridor (blank doors),Yellow Container,No,,,,,,,,,,,,Circuit Switch,Epoxy Adhesive,Circuit Switch,Memory Chip,Graphien,,,,,,
4/6/2021 22:20:57,PROC - Production,Data port,No,Sales Records,,,,,,,,,,,,,,,,,,,,,
4/6/2021 22:22:31,PROC - Production,Small locker,No,,,,,,,,,,,,Weapon Component,Circuit Board,Electrical Wiring,Circuit Switch,,,,,,,
4/6/2021 22:23:53,(CORR) - Corridor (blank doors),Yellow Container,Yes,,,,,,,,,,,,Universal Translator,Nutritional Concentrate,Compact Library,Infinity,Insight Entertainment Suite,,,,,,
4/6/2021 22:24:32,(CORR) - Corridor (blank doors),Yellow Container,No,,,,,,,,,,,,Metal Coil,Circuit Switch,Encrypted Memory Chip,Circuit Switch,,,,,,,
4/6/2021 22:25:58,(CORR) - Corridor (blank doors),Data port,No,Faction News,Maintenance Logs,Purchase Requests,Union Membership,,,,,,,,,,,,,,,,,,
4/6/2021 22:27:26,PROC - Production,Small locker,Yes,,,,,,,,,,,,G-Meds,Compression-Liquified Gas,Compression-Liquified Gas,Ionised Gas,,,,,,,
4/6/2021 22:28:48,PROC - Production,Small locker,Yes,,,,,,,,,,,,Compression-Liquified Gas,Compression-Liquified Gas,Inertia Canister,,,,,,,,
4/6/2021 22:30:41,Lab - Laboratory,Large Locker,No,,,,,,,,,,,,Circuit Switch,Epoxy Adhesive,Circuit Switch,Memory Chip,Memory Chip,,,,,,
4/6/2021 22:31:11,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,Deep Mantle Sample,,,,,,,,,,
4/6/2021 22:32:05,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,Insight Data Bank,G-Meds,,,,,,,,,
4/6/2021 22:33:08,Lab - Laboratory,Data port,No,Gene Sequencing,Manufacturing Instructions,Production Schedule,Risk Assessments,,,,,,,,,,,,,,,,,,
4/6/2021 22:35:08,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,G-Meds,,,,,,,,,,
4/6/2021 22:35:42,Lab - Laboratory,Large Locker,No,,,,,,,,,,,,Epoxy Adhesive,Memory Chip,Circuit Switch,,,,,,,,
4/6/2021 22:40:48,AGR - Agricultural,Large Locker,No,,,,,,,,,,,,Chemical Catalyst,Chemical Catalyst,Optical Fiber,Motor,Oxygenic Bacteria,,,,,,
4/6/2021 22:43:55,AGR - Agricultural,Large Locker,Yes,,,,,,,,,,,,Microbial Inhibitor,Genetic Sample,Nutritional Concentrate,Inertia Canister,Synthetic Genome,Microbial Inhibitor,Microbial Inhibitor,Microbial Inhibitor,Nutritional Concentrate,Genetic Sample,
